name,city,country
Colin McDonald,"Wethersfield, CT",USA
Evan McEneny,"Hamilton, ON",CAN
Brock McGinn,"Fergus, ON",CAN
Jamie McGinn,"Fergus, ON",CAN
Dylan McIlrath,"Winnipeg, MB",CAN
Greg McKegg,"St. Thomas, ON",CAN
Curtis McKenzie,"Golden, BC",CAN
Cody McLeod,"Binscarth, MB",CAN
Brayden McNabb,"Davidson, SK",CAN
Mark McNeill,"Langley, BC",CAN
Adam Mcquaid,"Charlottetown, PE",CAN
Wade Megan,"Canton, NY",USA
Jaycob Megna,"Plantation, FL",USA
Jayson Megna,"Fort Lauderdale, FL",USA
Julian Melchiori,"Richmond Hill, ON",CAN
Jon Merrill,"Oklahoma City, OK",USA
Marc Methot,"Ottawa, ON",CAN
Sonny Milano,"Massapequa, NY",USA
Colin Miller,"Sault Ste. Marie, ON",CAN
Drew Miller,"Dover, NJ",USA
J.T. Miller,"East Palestine, OH",USA
Kevan Miller,"Los Angeles, CA",USA
Garrett Mitchell,"Regina, SK",CAN
John Mitchell,"Oakville, ON",CAN
Torrey Mitchell,"Greenfield Park, QC",CAN
Zack Mitchell,"Orangeville, ON",CAN
Griffen Molino,"TRENTON, MI",USA
Sean Monahan,"Brampton, ON",CAN
Brandon Montour,"Brantford, ON",CAN
Dominic Moore,"Thornhill, ON",CAN
John Moore,"Winnetka, IL",USA
Samuel Morin,"Lac-Beauport, QC",CAN
Josh Morrissey,"Calgary, AB",CAN
Joe Morrow,"Edmonton, AB",CAN
Tyler Motte,"St. Clair, MI",USA
Matt Moulson,"North York, ON",CAN
Connor Murphy,"Dublin, OH",USA
Ryan Murphy,"Aurora, ON",CAN
Ryan Murray,"Regina, SK",CAN
Jake Muzzin,"Woodstock, ON",CAN
Tyler Myers,"Houston, TX",USA
Rick Nash,"Brampton, ON",CAN
Riley Nash,"Consort, AB",CAN
James Neal,"Whitby, ON",CAN
Chris Neil,"Flesherton, ON",CAN
Brock Nelson,"Warroad, MN",USA
Casey Nelson,"Wisconsin Rapids, WI",USA
Aaron Ness,"Roseau, MN",USA
Matt Nieto,"Long Beach, CA",USA
Cristoval Nieves,"Syracuse, NY",USA
Matt Niskanen,"Virginia, MN",USA
Stefan Noesen,"Plano, TX",USA
Nelson Nogier,"Saskatoon, SK",CAN
Jordan Nolan,"Garden River, First Nations, ON",CAN
Ryan Nugent-Hopkins,"Burnaby, BC",CAN
Darnell Nurse,"Hamilton, ON",CAN
Alex Nylander,"Calgary, AB",CAN
William Nylander,"Calgary, AB",CAN
Liam O'Brien,"Halifax, NS",CAN
Rob O'Gara,"Massapequa, NY",USA
Cal O'Reilly,"Toronto, ON",CAN
Ryan O'Reilly,"Clinton, ON",CAN
Jordan Oesterle,"Dearborn Heights, MI",USA
Kyle Okposo,"St. Paul, MN",USA
Jamie Oleksiak,"Toronto, ON",CAN
Steve Oleksy,"Chesterfield, MI",USA
Brooks Orpik,"San Francisco, CA",USA
T.J. Oshie,"Everett, WA",USA
Steve Ott,"Summerside, PE",CAN
Max Pacioretty,"New Canaan, CT",USA
Jean-Gabriel Pageau,"Ottawa, ON",CAN
Kyle Palmieri,"Smithtown, NY",USA
Cedric Paquette,"Gaspe, QC",CAN
Colton Parayko,"St. Albert, AB",CAN
Adam Pardy,"Bonavista, NL",CAN
PA Parenteau,"Hull, QC",CAN
Zach Parise,"Minneapolis, MN",USA
Greg Pateryn,"Sterling Heights, MI",USA
Nick Paul,"Mississauga, ON",CAN
Joe Pavelski,"Plover, WI",USA
Tanner Pearson,"Kitchener, ON",CAN
Matthew Peca,"Petawawa, ON",CAN
Adam Pelech,"Toronto, ON",CAN
Mathieu Perreault,"Drummondville, QC",CAN
David Perron,"Sherbrooke, QC",CAN
Corey Perry,"Peterborough, ON",CAN
Brett Pesce,"Tarrytown, NY",USA
Nic Petan,"Delta, BC",CAN
