Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Temp Start,Temp End,Temp,Start Time,Bike?,Sleep,Game,Game 2wk,,Run Total,Run Pace,Run Diff,,Game Total,Game Pace,Game Dif,,Dif,,,,,,,,,
"Saturday, April 16, 16",,,,,,,,,,,,,,,0.7,,15.12,87.7,-72.6,,69.9,87.7,17.8,,-54.8,,,,,,,,,
"Sunday, April 17, 16",4.03,20.83,5:10,11.61,Under Armour,HH,,,,20,11:55,,7,,0.7,,19.15,88.5,-69.4,,69.9,88.5,18.6,,-50.8,,,,,,,,,
"Monday, April 18, 16",5,25.75,5:09,11.65,Under Armour,HH,,13,13,13,9:30,,7.5,,0.7,,24.15,89.3,-65.2,,69.9,89.3,19.4,,-45.8,,,,,,,,,
"Tuesday, April 19, 16",,,,,,,,,,,,,,,0.7,,24.15,90.2,-66.0,,69.9,90.2,20.3,,-45.8,,,,,,,,,
"Wednesday, April 20, 16",,,,,,,,,,,,,,2.2,2.9,,24.15,91.0,-66.8,,72.1,91.0,18.9,,-48.0,,,,,,,,,
"Thursday, April 21, 16",,,,,,,,,,,,,,,2.9,,24.15,91.8,-67.7,,72.1,91.8,19.7,,-48.0,,,,,,,,,
"Friday, April 22, 16",3.04,14.45,4:45,12.62,Under Armour,HH,,17,14,15.5,16:25,,6,,2.9,,27.19,92.6,-65.4,,72.1,92.6,20.5,,-44.9,,,,,,,,,
"Saturday, April 23, 16",,,,,,,,,,,,,,,2.9,,27.19,93.4,-66.3,,72.1,93.4,21.3,,-44.9,,,,,,,,,
"Sunday, April 24, 16",,,,,,,,,,,,,,,2.9,,27.19,94.3,-67.1,,72.1,94.3,22.2,,-44.9,,,,,,,,,
"Monday, April 25, 16",,,,,,,,,,,,,,,2.9,,27.19,95.1,-67.9,,72.1,95.1,23.0,,-44.9,,,,,,,,,
"Tuesday, April 26, 16",,,,,,,,,,,,,,,2.9,,27.19,95.9,-68.7,,72.1,95.9,23.8,,-44.9,,,,,,,,,
"Wednesday, April 27, 16",,,,,,,,,,,,,,,2.9,,27.19,96.7,-69.5,,72.1,96.7,24.6,,-44.9,,,,,,,,,
"Thursday, April 28, 16",,,,,,,,,,,,,,,2.9,,27.19,97.5,-70.4,,72.1,97.5,25.4,,-44.9,,,,,,,,,
"Friday, April 29, 16",,,,,,,,,,,,,,,2.2,,27.19,98.4,-71.2,,72.1,98.4,26.3,,-44.9,,,,,,,,,
"Saturday, April 30, 16",,,,,,,,,,,,,,,2.2,,27.19,99.2,-72.0,,72.1,99.2,27.1,,-44.9,,,,,,,,,
"Sunday, May 1, 16",,,,,,,,,,,,,,,2.2,,27.19,100.0,-72.8,,72.1,100.0,27.9,,-44.9,,,,,,,,,
"Monday, May 2, 16",,,,,,,,,,,,,,,2.2,,27.19,100.8,-73.6,,72.1,100.8,28.7,,-44.9,,,,,,,,,
"Tuesday, May 3, 16",,,,,,,,,,,,,,,2.2,,27.19,101.6,-74.4,,72.1,101.6,29.5,,-44.9,,,,,,,,,
"Wednesday, May 4, 16",,,,,,,,,,,,,,,0,,27.19,102.5,-75.3,,72.1,102.5,30.4,,-44.9,,,,,,,,,
"Thursday, May 5, 16",4.02,20.85,5:11,11.57,Pants,Bounds of Music,Too hot,12,13,12.5,12:10,,8.5,,0,,31.21,103.3,-72.1,,72.1,103.3,31.2,,-40.9,,,,,,,,,
"Friday, May 6, 16",5,26.42,5:17,11.36,New Balance,HH,,15,17,16,9:55,,6,,0,,36.21,104.1,-67.9,,72.1,104.1,32.0,,-35.9,,,,,,,,,
"Saturday, May 7, 16",3.04,15.33,5:03,11.90,Pants,WC2015,,10,13,11.5,9:15,,7,,0,,39.25,104.9,-65.7,,72.1,104.9,32.8,,-32.9,,,,,,,,,
"Sunday, May 8, 16",,,,,,,,,,,,,,,0,,39.25,105.7,-66.5,,72.1,105.7,33.6,,-32.9,,,,,,,,,
"Monday, May 9, 16",5,25.68,5:08,11.68,New Blaance,WC2015,,13,14,13.5,15:45,,6,,0,,44.25,106.6,-62.3,,72.1,106.6,34.5,,-27.9,,,,,,,,,
"Tuesday, May 10, 16",,,,,,,,,,,,,,,0,,44.25,107.4,-63.1,,72.1,107.4,35.3,,-27.9,,,,,,,,,
"Wednesday, May 11, 16",,,,,,,,,,,,,,,0,,44.25,108.2,-63.9,,72.1,108.2,36.1,,-27.9,,,,,,,,,
"Thursday, May 12, 16",3.04,14.72,4:50,12.39,New Balance,WC2015,,24,23,23.5,17:05,,5,,0,,47.29,109.0,-61.7,,72.1,109.0,36.9,,-24.8,,,,,,,,,
"Friday, May 13, 16",3.04,14.52,4:47,12.56,New Balance,Nike Black,,17,17,17,8:00,,6,,0,,50.33,109.8,-59.5,,72.1,109.8,37.7,,-21.8,,,,,,,,,
"Saturday, May 14, 16",,,,,,,,,,,,,,,0,,50.33,110.7,-60.3,,72.1,110.7,38.6,,-21.8,,,,,,,,,
"Sunday, May 15, 16",,,,,,,,,,,,,,,0,,50.33,111.5,-61.1,,72.1,111.5,39.4,,-21.8,,,,,,,,,
"Monday, May 16, 16",,,,,,,,,,,,,,,0,,50.33,112.3,-62.0,,72.1,112.3,40.2,,-21.8,,,,,,,,,
"Tuesday, May 17, 16",4.02,20.00,4:59,12.06,New Balance,HH,Hungover,16,15,15.5,17:40,,6,,0,,54.35,113.1,-58.8,,72.1,113.1,41.0,,-17.8,,,,,,,,,
"Wednesday, May 18, 16",5,25.12,5:01,11.94,Track Suit,WC2015,,11,11,11,9:15,,7.5,,0,,59.35,113.9,-54.6,,72.1,113.9,41.8,,-12.8,,,,,,,,,
"Thursday, May 19, 16",5,25.55,5:07,11.74,New Balance,Ontario T&F,,12,12,12,9:30,,8,,0,,64.35,114.8,-50.4,,72.1,114.8,42.7,,-7.8,,,,,,,,,
"Friday, May 20, 16",5,24.70,4:56,12.15,New Balance,Niagara T&F,Felt like not enough sleep,10,10,10,8:25,,6,,0,,69.35,115.6,-46.2,,72.1,115.6,43.5,,-2.8,,,,,,,,,
"Saturday, May 21, 16",3.04,14.28,4:42,12.77,New Balance,Nike Black,,12,13,12.5,7:55,,7,,0,,72.39,116.4,-44.0,,72.1,116.4,44.3,,0.3,,,,,,,,,
"Sunday, May 22, 16",,,,,,,,,,,,,,,0,,72.39,117.2,-44.8,,72.1,117.2,45.1,,0.3,,,,,,,,,
"Monday, May 23, 16",5,24.65,4:56,12.17,New Balance,Mizuno,REM wake up,13,17,15,8:50,,7,,0,,77.39,118.0,-40.6,,72.1,118.0,45.9,,5.3,,,,,,,,,
"Tuesday, May 24, 16",5,24.15,4:50,12.42,Saucony,Mizuno,,14,14,14,8:15,,7,,0,,82.39,118.9,-36.5,,72.1,118.9,46.8,,10.3,,,,,,,,,
"Wednesday, May 25, 16",,,,,,,,,,,,,,,0,,82.39,119.7,-37.3,,72.1,119.7,47.6,,10.3,,,,,,,,,
"Thursday, May 26, 16",,,,,,,,,,,,"10.89, 1842",,,0,,82.39,120.5,-38.1,,72.1,120.5,48.4,,10.3,,,,,,,,,
"Friday, May 27, 16",,,,,,,,,,,,,,,0,,82.39,121.3,-38.9,,72.1,121.3,49.2,,10.3,,,,,,,,,
"Saturday, May 28, 16",,,,,,,,,,,,,,,0,,82.39,122.1,-39.7,,72.1,122.1,50.0,,10.3,,,,,,,,,
"Sunday, May 29, 16",,,,,,,,,,,,,,,0,,82.39,123.0,-40.6,,72.1,123.0,50.9,,10.3,,,,,,,,,
"Monday, May 30, 16",6,28.92,4:49,12.45,Saucony,HH,"New shoes, Confident",18,19,18.5,8:15,,8.5,,0,,88.39,123.8,-35.4,,72.1,123.8,51.7,,16.3,,,,,,,,,
"Tuesday, May 31, 16",6,27.88,4:39,12.91,Saucony,HH,Slept downstairs,12,13,12.5,7:00,,5,,0,,94.39,124.6,-30.2,,72.1,124.6,52.5,,22.3,,,,,,,,,
"Wednesday, June 1, 16",7,33.50,4:47,12.54,New Balance,Mizuno,,12,14,13,7:50,,8,,0,,101.39,125.4,-24.0,,72.1,125.4,53.3,,29.3,,,,,,,,,
"Thursday, June 2, 16",7,33.00,4:43,12.73,New Balance,Mizuno,,15,15,15,7:25,,7,,0,,108.39,126.2,-17.8,,72.1,126.2,54.1,,36.3,,,,,,,,,
"Friday, June 3, 16",10.52,54.28,5:10,11.63,New Balance,WC2015,,12,19,15.5,8:20,,5,,0,,118.91,127.0,-8.1,,72.1,127.0,54.9,,46.8,,,,,,,,,
"Saturday, June 4, 16",,,,,,,,,,,,,,,0,,118.91,127.9,-9.0,,72.1,127.9,55.8,,46.8,,,,,,,,,
"Sunday, June 5, 16",5,23.13,4:38,12.97,New Balance,WC2015,"Apple 30 min, wet",18,18,18,7:35,,7,,0,,123.91,128.7,-4.8,,72.1,128.7,56.6,,51.8,,,,,,,,,
